DataSet,RaptorScientificName,Continent,Num_obs,PreyPerPellet,ecozone,ShannEnt_rare,DietRichness_rare,LocalRichness,RERichness,RaptorRichness
525,Tyto alba,Africa,647,1.86,BA,1.3577310628240848,10.16,253.0,83.0,60.0
527,Tyto alba,Asia,297,1.71,DA,2.127587576455892,11.13,66.0,20.0,26.0
528,Tyto alba,Asia,516,1.52,DA,1.1015868479683986,8.425,66.0,20.0,26.0
529,Tyto alba,Asia,1142,1.37,DA,0.8772094010105637,6.6,66.0,20.0,26.0
530,Tyto alba,Asia,458,1.32,DA,1.4843856887873208,8.365,66.0,20.0,26.0
535,Tyto alba,South America,1145,1.79,NA,2.292183253404328,12.645,33.0,15.0,11.0
544,Tyto alba,Europe,125,2.78,BA,1.7490071885701397,8.675,83.0,34.0,22.0
567,Tyto alba,Asia,156,,DA,2.015653265078487,9.915,69.0,18.0,30.0
585,Tyto alba,Europe,2414,,BA,1.3527098063100451,5.43,37.0,13.0,18.0
603,Tyto alba,Europe,98,2.58,BA,1.7013937209439678,8.01,83.0,34.0,22.0
611,Tyto alba,North America,224,,DB,2.058525262258681,13.73,15.0,1.0,3.0
612,Tyto alba,North America,293,,DB,2.0630044540616304,13.42,15.0,1.0,3.0
617,Tyto alba,South America,755,3.24,DA,1.7576902666232925,11.975,177.0,25.0,43.0
620,Tyto alba,Australia/Oceania,139,4.34,CA,0.1549557352105382,2.23,31.0,5.0,21.0
621,Tyto alba,Australia/Oceania,229,4.32,CA,0.9169859360107708,5.5,31.0,5.0,21.0
622,Tyto alba,Australia/Oceania,67,4.47,CA,0.5561016591152476,3.54,31.0,5.0,21.0
631,Tyto alba,Australia/Oceania,241,4.82,CA,0.20646934866746455,2.62,31.0,5.0,21.0
667,Tyto alba,Africa,27,,BA,1.6670335533231135,7.54,123.0,42.0,35.0
688,Tyto alba,Australia/Oceania,288,5.14,CA,0.14811239879384644,2.26,31.0,5.0,21.0
689,Tyto alba,Australia/Oceania,229,4.98,CA,0.1858714326213374,2.45,31.0,5.0,21.0
694,Tyto alba,Australia/Oceania,303,2.12,CA,1.117347194551041,5.76,38.0,7.0,14.0
699,Tyto alba,Australia/Oceania,138,5.31,CA,0.24334301359668561,2.28,31.0,5.0,21.0
700,Tyto alba,North America,2223,,BB,1.8664434251245472,11.455,93.0,47.0,22.0
717,Tyto alba,Australia/Oceania,236,,BB,0.4406724828028438,2.455,53.0,5.0,23.0
719,Tyto alba,South America,354,1.11,BB,1.937130023522478,9.255,41.0,14.0,18.0
720,Tyto alba,South America,335,1.4,BB,1.572062323651893,8.08,58.0,26.0,18.0
726,Tyto alba,Europe,128,,B,1.6291058222220185,7.11,60.0,24.0,21.0
727,Tyto alba,Europe,209,,B,2.0257775400983786,10.205,60.0,24.0,21.0
728,Tyto alba,Europe,165,,B,1.7508529008125213,7.975,60.0,24.0,21.0
729,Tyto alba,Europe,144,,BA,1.4571832914846714,6.58,67.0,26.0,21.0
730,Tyto alba,Europe,56,,BA,1.6662604528976086,7.545,67.0,26.0,21.0
731,Tyto alba,Europe,66,,BA,0.63453623447677,4.0,67.0,26.0,21.0
737,Tyto alba,Europe,9572,,BA,1.348456236741334,6.41,36.0,12.0,11.0
738,Tyto alba,Europe,7138,,BA,1.4263384536723123,7.78,54.0,21.0,16.0
739,Tyto alba,Europe,8179,,BA,1.577704464763926,8.5,39.0,14.0,14.0
740,Tyto alba,Europe,4784,,BA,1.4522299690293357,7.32,39.0,14.0,14.0
741,Tyto alba,Europe,4340,,BA,1.2468504387991346,6.15,42.0,15.0,18.0
742,Tyto alba,Europe,4525,,BA,1.307500521261804,6.465,37.0,13.0,18.0
743,Tyto alba,Europe,7494,,BA,1.291996074085352,5.745,33.0,12.0,16.0
744,Tyto alba,Europe,1731,,BA,0.9959920054107768,4.715,25.0,8.0,8.0
