MSW3_ID,Scientific,MSWFamilyLatin,SciName,Family,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,Diet-Source,Diet-Certainty,ForStrat-Value,ForStrat-Certainty,ForStrat-Comment,Activity-Nocturnal,Activity-Crepuscular,Activity-Diurnal,Activity-Source,Activity-Certainty,BodyMassValue,BodyMass-Source,BodyMass-SpecLevel,,
1672,Akodon,iniscatus,Akodon iniscatus,Cricetidae,80,0,0,0,0,0,0,0,0,20,Ref_1,ABC,G,A,1,1,1,Ref_1,ABC,28.7,Ref_117,1,,
1682,Akodon,juninensis,Akodon juninensis,Cricetidae,80,0,0,0,0,0,0,0,0,20,Ref_1,ABC,G,A,1,1,1,Ref_1,ABC,39,Ref_117,1,,
1693,Akodon,kofordi,Akodon kofordi,Cricetidae,80,0,0,0,0,0,0,0,0,20,Ref_1,ABC,G,A,1,1,1,Ref_1,ABC,29.5,Ref_117,1,,
1709,Akodon,latebricola,Akodon latebricola,Cricetidae,80,0,0,0,0,0,0,0,0,20,Ref_1,ABC,G,A,1,1,1,Ref_1,ABC,39,Ref_117,1,,
1680,Akodon,leucolimnaeus,Akodon leucolimnaeus,Cricetidae,70,0,0,0,0,0,0,0,0,30,Ref_2,D1,G,A,1,1,1,Ref_1,ABC,31.32,"Ref_2, Ref_3",0,,
1679,Akodon,lindberghi,Akodon lindberghi,Cricetidae,80,0,0,0,0,0,0,0,0,20,Ref_1,ABC,G,A,1,1,1,Ref_1,ABC,26.4,Ref_117,1,,
1688,Akodon,lutescens,Akodon lutescens,Cricetidae,80,0,0,0,0,0,0,0,0,20,Ref_1,ABC,G,A,1,1,1,Ref_1,ABC,20.69,Ref_58,1,,
1710,Akodon,mimus,Akodon mimus,Cricetidae,80,0,0,0,0,0,0,0,0,20,Ref_1,ABC,G,A,1,1,1,Ref_1,ABC,24,Ref_117,1,,
1674,Akodon,molinae,Akodon molinae,Cricetidae,80,0,0,0,0,0,0,0,0,20,Ref_1,ABC,G,A,1,1,1,Ref_1,ABC,33,Ref_117,1,,
1678,Akodon,mollis,Akodon mollis,Cricetidae,80,0,0,0,0,0,0,0,0,20,Ref_1,ABC,G,A,1,1,1,Ref_1,ABC,30.4,Ref_117,1,,
1677,Akodon,montensis,Akodon montensis,Cricetidae,70,0,0,0,0,0,0,0,0,30,Ref_2,D1,G,A,1,1,1,Ref_1,ABC,31.32,"Ref_2, Ref_3",0,,
1676,Akodon,mystax,Akodon mystax,Cricetidae,70,0,0,0,0,0,0,0,0,30,Ref_2,D1,G,A,1,1,1,Ref_1,ABC,18.5,Ref_143,1,,
1675,Akodon,neocenus,Akodon neocenus,Cricetidae,80,0,0,0,0,0,0,0,0,20,Ref_1,ABC,G,A,1,1,1,Ref_1,ABC,42.4,Ref_117,1,,
1696,Akodon,oenos,Akodon oenos,Cricetidae,70,0,0,0,0,0,0,0,0,30,Ref_2,D1,G,A,1,1,1,Ref_1,ABC,31.32,"Ref_2, Ref_3",0,,
1673,Akodon,orophilus,Akodon orophilus,Cricetidae,80,0,0,0,0,0,0,0,0,20,Ref_1,ABC,G,A,1,1,1,Ref_1,ABC,39,Ref_117,1,,
1683,Akodon,paranaensis,Akodon paranaensis,Cricetidae,70,0,0,0,0,0,0,0,0,30,Ref_2,D1,G,A,1,1,1,Ref_1,ABC,31.32,"Ref_2, Ref_3",0,,
1698,Akodon,pervalens,Akodon pervalens,Cricetidae,70,0,0,0,0,0,0,0,0,30,Ref_2,D1,G,A,1,1,1,Ref_1,ABC,31.32,"Ref_2, Ref_3",0,,
1704,Akodon,reigi,Akodon reigi,Cricetidae,70,0,0,0,0,0,0,0,0,30,Ref_2,D1,G,A,1,1,1,Ref_1,ABC,31.32,"Ref_2, Ref_3",0,,
1681,Akodon,sanctipaulensis,Akodon sanctipaulensis,Cricetidae,80,0,0,0,0,0,0,0,0,20,Ref_1,ABC,G,A,1,1,1,Ref_1,ABC,27.1,Ref_117,1,,
1705,Akodon,serrensis,Akodon serrensis,Cricetidae,80,0,0,0,0,0,0,0,0,20,Ref_1,ABC,G,A,1,1,1,Ref_1,ABC,28.3,Ref_117,1,,
1708,Akodon,siberiae,Akodon siberiae,Cricetidae,80,0,0,0,0,0,0,0,0,20,Ref_1,ABC,G,A,1,1,1,Ref_1,ABC,34.6,Ref_117,1,,
1703,Akodon,simulator,Akodon simulator,Cricetidae,80,0,0,0,0,0,0,0,0,20,Ref_1,ABC,G,A,1,1,1,Ref_1,ABC,42.5,Ref_117,1,,
1702,Akodon,spegazzinii,Akodon spegazzinii,Cricetidae,80,0,0,0,0,0,0,0,0,20,Ref_1,ABC,G,A,1,1,1,Ref_1,ABC,28.6,Ref_117,1,,
1694,Akodon,subfuscus,Akodon subfuscus,Cricetidae,80,0,0,0,0,0,0,0,0,20,Ref_1,ABC,G,A,1,1,1,Ref_1,ABC,30.4,Ref_117,1,,
1700,Akodon,surdus,Akodon surdus,Cricetidae,80,0,0,0,0,0,0,0,0,20,Ref_1,ABC,G,A,1,1,1,Ref_1,ABC,39,Ref_117,1,,
1697,Akodon,sylvanus,Akodon sylvanus,Cricetidae,80,0,0,0,0,0,0,0,0,20,Ref_1,ABC,G,A,1,1,1,Ref_1,ABC,39,Ref_117,1,,
1699,Akodon,toba,Akodon toba,Cricetidae,80,0,0,0,0,0,0,0,0,20,Ref_1,ABC,G,A,1,1,1,Ref_1,ABC,51.2,Ref_117,1,,
1695,Akodon,torques,Akodon torques,Cricetidae,80,0,0,0,0,0,0,0,0,20,Ref_1,ABC,G,A,1,1,1,Ref_1,ABC,39,Ref_117,1,,
1701,Akodon,varius,Akodon varius,Cricetidae,80,0,0,0,0,0,0,0,0,20,Ref_1,ABC,G,A,1,1,1,Ref_1,ABC,40,Ref_117,1,,
5197,Alcelaphus,buselaphus,Alcelaphus buselaphus,Bovidae,0,0,0,0,0,0,0,0,0,100,Ref_1,ABC,G,A,0,1,1,Ref_1,ABC,171001.53,Ref_117,1,,
5195,Alcelaphus,caama,Alcelaphus caama,Bovidae,0,0,0,0,0,0,0,0,0,100,Ref_1,ABC,G,A,0,1,1,Ref_1,ABC,176115.97,Ref_58,1,,
5196,Alcelaphus,lichtensteinii,Alcelaphus lichtensteinii,Bovidae,0,0,0,0,0,0,0,0,0,100,Ref_1,ABC,G,A,0,1,1,Ref_1,ABC,168695.66,Ref_58,1,,
5282,Alces,alces,Alces alces,Cervidae,0,0,0,0,0,0,0,0,0,100,Ref_1,ABC,G,A,1,1,0,Ref_1,ABC,356998.16,Ref_117,1,,
5281,Alces,americanus,Alces americanus,Cervidae,0,0,0,0,0,0,0,0,0,100,Ref_1,ABC,G,A,1,1,0,Ref_2,D1,541460.44,Ref_58,1,,
3674,Alionycteris,paucidentata,Alionycteris paucidentata,Pteropodidae,0,0,0,0,0,0,100,0,0,0,Ref_1,ABC,Ar,A,1,0,0,Ref_1,ABC,16.15,Ref_117,1,,
1261,Allactaga,balikunica,Allactaga balikunica,Dipodidae,20,0,0,0,0,0,0,0,50,30,Ref_1,ABC,G,A,1,0,0,Ref_1,ABC,93.08,Ref_178,2,,
1262,Allactaga,bullata,Allactaga bullata,Dipodidae,20,0,0,0,0,0,0,0,50,30,Ref_1,ABC,G,A,1,0,0,Ref_1,ABC,89.35,Ref_178,2,,
1254,Allactaga,elater,Allactaga elater,Dipodidae,20,0,0,0,0,0,0,0,50,30,Ref_1,ABC,G,A,1,0,0,Ref_1,ABC,59,Ref_117,1,,
1263,Allactaga,euphratica,Allactaga euphratica,Dipodidae,20,0,0,0,0,0,0,0,50,30,Ref_1,ABC,G,A,1,0,0,Ref_1,ABC,232,Ref_117,1,,
